gene_id	sample_id	your_fpkm	nfcore_fpkm	diff	abs_diff
AT5G38410	SRR11047176	7377.745605	6502.625000	875.120605	875.120605
AT5G38410	SRR11047174	6650.763184	5878.770508	771.992676	771.992676
AT5G38430	SRR11047176	1865.377319	1122.524292	742.853027	742.853027
AT5G38410	SRR11047175	5767.328125	5094.659668	672.668457	672.668457
AT5G38430	SRR11047174	1609.772827	960.505310	649.267517	649.267517
AT5G38430	SRR11047175	1597.347412	959.248474	638.098938	638.098938
AT5G38410	SRR11047173	5641.110840	5015.494141	625.616699	625.616699
AT2G34420	SRR11047174	832.774536	1418.650757	-585.876221	585.876221
AT2G08665	SRR11047173	5789.835938	6369.617676	-579.781738	579.781738
AT5G38430	SRR11047173	1490.342773	948.337280	542.005493	542.005493
AT2G08665	SRR11047174	4645.200684	4170.849121	474.351563	474.351563
AT2G34420	SRR11047173	969.304138	518.930054	450.374084	450.374084
AT4G20360	SRR11047173	164.380981	592.576111	-428.195130	428.195130
AT3G01500	SRR11047174	1535.902832	1951.095825	-415.192993	415.192993
AT3G01500	SRR11047173	1360.392456	1720.706055	-360.313599	360.313599
AT5G38420	SRR11047176	5899.610352	5544.693359	354.916993	354.916993
AT2G08665	SRR11047176	5629.904785	5981.285156	-351.380371	351.380371
AT4G20362	SRR11047173	369.283875	27.647779	341.636096	341.636096
AT3G01500	SRR11047175	2568.328125	2232.618896	335.709229	335.709229
AT5G38420	SRR11047175	4819.440430	4495.403320	324.037110	324.037110
AT3G22231	SRR11047173	846.588562	538.382812	308.205750	308.205750
AT1G29930	SRR11047173	14824.899414	15107.340820	-282.441406	282.441406
AT1G29930	SRR11047176	13085.054688	13360.059570	-275.004882	275.004882
AT3G22231	SRR11047176	802.399841	531.081970	271.317871	271.317871
AT5G38420	SRR11047173	4264.580078	3996.420898	268.159180	268.159180
AT1G29930	SRR11047175	13505.554688	13773.583984	-268.029296	268.029296
AT5G38420	SRR11047174	4524.454590	4259.920898	264.533692	264.533692
AT3G22235	SRR11047173	995.484192	740.107971	255.376221	255.376221
AT2G34420	SRR11047176	285.544922	39.251095	246.293827	246.293827
AT1G29930	SRR11047174	11804.596680	12032.957031	-228.360351	228.360351
AT3G22235	SRR11047176	1003.526855	794.654297	208.872558	208.872558
AT3G22231	SRR11047174	549.568176	352.395142	197.173034	197.173034
AT1G06680	SRR11047176	2604.404297	2776.556396	-172.152099	172.152099
AT1G25098	SRR11047175	224.596100	52.847931	171.748169	171.748169
AT3G01500	SRR11047176	2794.774658	2626.518555	168.256103	168.256103
AT1G25098	SRR11047176	209.479660	44.025185	165.454475	165.454475
AT1G33140	SRR11047175	326.202423	168.126907	158.075516	158.075516
AT3G22231	SRR11047175	423.813232	268.299255	155.513977	155.513977
AT2G08665	SRR11047175	4616.809570	4769.862793	-153.053223	153.053223
AT3G22235	SRR11047174	704.573364	553.098816	151.474548	151.474548
AT1G25098	SRR11047174	192.768753	41.863682	150.905071	150.905071
AT1G67090	SRR11047176	11204.768555	11355.119141	-150.350586	150.350586
AT1G06680	SRR11047173	2617.945801	2767.927246	-149.981445	149.981445
AT1G33140	SRR11047174	316.657074	171.710327	144.946747	144.946747
AT1G33120	SRR11047175	299.470581	157.308167	142.162414	142.162414
AT4G14890	SRR11047175	0.000000	135.083862	-135.083862	135.083862
AT1G67090	SRR11047173	9055.331055	9186.807617	-131.476562	131.476562
AT1G06680	SRR11047174	2577.798340	2708.785400	-130.987060	130.987060
AT1G33120	SRR11047174	293.594452	167.214951	126.379501	126.379501
AT1G24996	SRR11047173	151.604599	26.582317	125.022282	125.022282
AT4G05320	SRR11047173	980.367737	856.239136	124.128601	124.128601
AT1G24996	SRR11047175	151.230652	29.692276	121.538376	121.538376
AT1G55670	SRR11047173	2947.953857	3066.932129	-118.978272	118.978272
AT1G33140	SRR11047176	250.275177	133.719543	116.555634	116.555634
AT1G67090	SRR11047175	9889.307617	10003.276367	-113.968750	113.968750
AT5G36700	SRR11047176	175.749863	62.240810	113.509053	113.509053
AT5G36790	SRR11047176	177.996063	64.777596	113.218467	113.218467
AT1G25175	SRR11047176	141.803970	31.043230	110.760740	110.760740
AT3G22235	SRR11047175	524.306213	414.750519	109.555694	109.555694
AT1G33140	SRR11047173	219.060593	114.488045	104.572548	104.572548
AT1G33120	SRR11047176	222.115280	118.707352	103.407928	103.407928
AT1G67090	SRR11047174	10799.071289	10901.689453	-102.618164	102.618164
AT1G24996	SRR11047176	128.776901	28.144684	100.632217	100.632217
AT2G01010	SRR11047173	198.864426	99.247475	99.616951	99.616951
AT5G36700	SRR11047173	151.818527	53.624756	98.193771	98.193771
AT1G25175	SRR11047174	126.509689	28.969818	97.539871	97.539871
AT5G36790	SRR11047173	151.629898	55.040302	96.589596	96.589596
AT5G14740	SRR11047173	942.068665	847.264404	94.804261	94.804261
AT1G33120	SRR11047173	199.600082	105.200371	94.399711	94.399711
AT1G24996	SRR11047174	122.900642	29.007282	93.893360	93.893360
AT5G36790	SRR11047174	145.644730	52.903538	92.741192	92.741192
AT3G41768	SRR11047173	421.810638	329.617645	92.192993	92.192993
AT5G36700	SRR11047174	142.710159	50.910671	91.799488	91.799488
AT1G55673	SRR11047173	90.451302	0.000000	90.451302	90.451302
AT2G01010	SRR11047175	176.633148	88.368935	88.264213	88.264213
AT1G58983	SRR11047174	110.909805	22.747208	88.162597	88.162597
AT1G06680	SRR11047175	2235.320557	2323.469238	-88.148681	88.148681
AT2G01010	SRR11047176	173.332642	86.448921	86.883721	86.883721
AT1G24880	SRR11047173	128.584503	44.297474	84.287029	84.287029
AT1G79040	SRR11047173	7195.706543	7279.851074	-84.144531	84.144531
AT5G36790	SRR11047175	130.509109	46.720478	83.788631	83.788631
AT1G58983	SRR11047175	107.472565	23.912498	83.560067	83.560067
AT1G79040	SRR11047176	6660.632812	6743.631348	-82.998536	82.998536
AT5G36700	SRR11047175	129.082092	46.620651	82.461441	82.461441
AT3G41768	SRR11047175	371.967621	290.207092	81.760529	81.760529
AT3G41768	SRR11047176	351.960754	270.759888	81.200866	81.200866
AT1G25175	SRR11047175	115.351143	34.415417	80.935726	80.935726
AT2G21660	SRR11047173	2436.443848	2516.957520	-80.513672	80.513672
AT1G58684	SRR11047175	100.071083	21.087925	78.983158	78.983158
AT1G59359	SRR11047175	98.839859	20.875011	77.964848	77.964848
AT1G55670	SRR11047175	2484.961182	2562.600830	-77.639648	77.639648
AT2G05520	SRR11047175	1079.997070	1003.460388	76.536682	76.536682
AT5G02500	SRR11047173	670.911133	746.020447	-75.109314	75.109314
AT1G55670	SRR11047176	2679.502930	2752.652344	-73.149414	73.149414
AT1G58684	SRR11047174	92.343704	20.326885	72.016819	72.016819
AT1G73885	SRR11047173	326.218079	254.826355	71.391724	71.391724
AT1G59359	SRR11047174	89.608139	19.774424	69.833715	69.833715
AT2G01010	SRR11047174	139.799622	70.821754	68.977868	68.977868
AT1G73885	SRR11047174	319.568298	251.042511	68.525787	68.525787
AT1G73885	SRR11047176	338.813843	270.565277	68.248566	68.248566
